,__reduced__
spd_close_candle1_ma9,6.821652993474329e-05
spd_close_candle1_ma50,0.00016446129821783405
spd_close_candle1_ma100,0.00024425186756876777
spd_close_candle3_ma9,0.00010682877176384748
spd_close_candle3_ma50,0.0002937129042420705
spd_close_candle3_ma100,0.00042161586095529834
spd_close_candle5_ma9,0.00013515871525538245
spd_close_candle5_ma50,0.0003822656957844862
spd_close_candle5_ma100,0.0005476725042891818
spd_close_candle15_ma9,0.00024057835964569305
spd_close_candle15_ma50,0.0006613489375656408
spd_close_candle15_ma100,0.0007699303702429223
spd_close_candle60_ma9,0.00046738206108162984
spd_close_candle60_ma50,0.0006675617815488375
spd_close_candle60_ma100,0.0006883242484766099
spd_close_candle240_ma9,0.0006795653397260066
spd_close_candle240_ma50,0.0008234778805867498
spd_close_candle240_ma100,0.0007098429372146406
spd_close_10_lower_maginot,0.0007674752023273013
spd_close_10_upper_maginot,0.0007665164141001026
spd_close_20_lower_maginot,0.0007878610318970032
spd_close_20_upper_maginot,0.0007655710773658101
spd_close_50_lower_maginot,0.0008009473033654753
spd_close_50_upper_maginot,0.0007658419257978301
spd_close_high,3.4837221829468537e-05
spd_close_low,3.335235776353503e-05
spd_close_3mins_high,4.932436322488013e-05
spd_close_3mins_low,4.7791324626124976e-05
spd_close_3mins_open,6.319079941206428e-05
spd_close_5mins_high,6.309055022272266e-05
spd_close_5mins_low,5.827202074251545e-05
spd_close_5mins_open,7.889824694770438e-05
spd_close_15mins_high,0.0001042536740801269
spd_close_15mins_low,9.40915854482529e-05
spd_close_15mins_open,0.0001301455658852734
spd_close_60mins_high,0.00018415575588417342
spd_close_60mins_low,0.0001772172604544541
spd_close_60mins_open,0.0002550256849130895
spd_close_240mins_high,0.00026957107237380364
spd_close_240mins_low,0.00036599018897822235
spd_close_240mins_open,0.0004052696183586444
